Job Title,Deadline Date,Job Category,Job Level,No. of Vacancy/s,Employment Type,Job Location,Offered Salary,Apply Before(Deadline),Education Level,Experience Required,Professional Skills,Job Description
"
Senior Software Engineer (Java)



",06/23/2024 11:55 p.m.,IT & Telecommunication,Senior Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 23, 2024 23:55
(2 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 5 years,"Debugging, Communication, Problem Solving, Result Oriented, Analytical","Develop solutions/product in Java using best practices around enterprise architecture such as dependency management, design patterns, complexity estimation & persistence layers.
Carry out system analysis and suggest modifications to technical procedures to enhance software operations.
Engage in product development and brainstorming with team members.
Mentoring the junior team members."
"
Digital Marketing Executive



",06/08/2024 11:55 p.m.,"Marketing / Advertising / Customer Service
 > Creative directions, Customer relationship, Direct marketing, Marketing communication, Marketing Strategy",Mid Level,[ 1 ],Full Time,Baluwatar,"NRs. 20,000.00 - 30,000.00 Monthly","Jun. 08, 2024 23:55
(2 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Digital Marketing, Communication, Search Engine Optimization (SEO), Social Media Marketing, Team Player","Collaborate with cross-functional teams to develop comprehensive digital marketing strategies aligned with business goals.
Analyze market trends, customer behavior, and competitor activities to identify opportunities and optimize marketing efforts.
Plan and execute integrated digital marketing campaigns across multiple channels (e.g., social media, search engines, email, display advertising, content marketing)."
"
Senior Full Stack Engineer



",06/23/2024 11:55 p.m.,"IT & Telecommunication
 > Programmer/ Software Engineer",Senior Level,[ 1 ],Full Time,Remote,"NRs. 250,000.00 - 400,000.00 Monthly","Jun. 23, 2024 23:55
(2 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 5 years,"Node.Js, React.Js, React Native, Software Engineering","Develop and maintain web applications using React.js, ensuring high performance and responsiveness.
Build and enhance mobile applications using React Native, with a deep understanding of native Android and iOS development to handle platform-specific requirements and optimizations.
Design, implement, and maintain robust backend services using Node.js and related frameworks (e.g., Express.js).
Collaborate with cross-functional teams, including designers, product managers, and other engineers, to deliver high-quality products.
Write clean, maintainable, and well-documented code, following best practices and coding standards.
Perform code reviews, mentor junior developers, and contribute to the continuous improvement of our development processes.
Troubleshoot and debug complex issues, identifying root causes and implementing effective solutions.
Stay updated with the latest industry trends and technologies, and proactively share knowledge within the team."
"
Export Documentation Officer



",06/11/2024 11:55 p.m.,"Commercial / Logistics / Supply Chain
 > Documentation, Import export administration",Mid Level,[ 1 ],Full Time,"Nayabazar, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"MS Office Suite, Communication, Multitasking, Teamwork, Time Management","Prepare and manage export documentation for international shipments.
Coordinate with freight forwarders, shipping lines, and couriers to ensure timely delivery.
Handle logistics and cargo arrangements for both air and sea shipments.
Ensure compliance with international trade regulations and customs requirements.
Maintain accurate records of shipments and documentation.
Collaborate with internal teams to streamline the shipping process.
Address and resolve any issues related to shipping and documentation.
Work beyond regular office hours when necessary to meet deadlines and ensure the smooth flow of goods."
"
Educational Content Writer - English



",06/11/2024 11:55 p.m.,Journalism / Editor / Media,Mid Level,[ 1 ],Full Time,"Baluwatar, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Graduate (Masters),More than or equal to 2 years,"Content Editing, Communication, Organizational, Time Management, Creativity Skills","Write scripts for educational videos to make learning English as a subject of the Nepali curriculum fun and engaging
Prepare educational materials for the English subject of different academic levels in accordance to the curriculum requirements
Review videos and provide feedback to animators to ensure that the videos meet the company standards
Prepare e-learning materials such as quizzes, test papers and eBooks
Actively participate in team meetings and maintain cohesion with the rest of the Content department"
"
Content Editor (English / Nepali)



",06/11/2024 11:55 p.m.,Journalism / Editor / Media,Mid Level,[ 4 ],Full Time,"Baluwatar, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Graduate (Masters),More than or equal to 2 years,"Content Editing, Communication, Organizational, Time Management, Creativity Skills","Edit the language and flow of scripts of various subjects and different academic levels that will be used in making video lessons.
Perform a quality check and plagiarism check of the content in the scripts to ensure that the subject matter is correct and original.
Collaborate with content experts and creative writers of various subjects and provide advice that will help improve the quality of scripts.
Provide creative input to make video lessons more engaging and exciting for learners.
Oversee the voice recording or video shoots to ensure correct and smooth narration/delivery of scripts.
Review and quality check videos to suggest corrections to ensure the video lessons are of thebest quality.
 Actively participate in team meetings and maintain cohesion with the rest of the English Editors."
"
Generation Control Engineer



",06/22/2024 11:55 p.m.,Construction / Engineering / Architects,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 22, 2024 23:55
(2 weeks, 2 days from now)",Under Graduate (Bachelor),More than 4 years,"Interpersonal Skills, Management, Communication, Multitasking, Teamwork, Analytical","Specialist in Electrical generator control
Detailed knowledge of programming and commissioning of PLC, HMI and SCADA systems
Experience of testing and fault finding to component level
Outline and detailed design and specification of Hydro, Solar and electrical power projects including the civil and mechanical interfaces.
Know the sequence of jobs (on site and in the office) and pre-empt the need for information/client input
Manage the interface between the site-based contractor’s staff and the designers and help in resolving site based design changes.
Work as part of a team to suggest improvements which will benefit our clients."
"
Sales and Marketing Executive



",06/09/2024 11:55 p.m.,"Sales / Public Relations
 > Sales/ Marketing, Real state agent/ Broker",Mid Level,[ 1 ],Full Time,"Naxal, Kathmandu",Negotiable,"Jun. 09, 2024 23:55
(3 days, 4 hours from now)",Under Graduate (Bachelor),More than 3 years,N/A,"Property Sales: Identify potential buyers and showcase properties to them, highlighting their features and benefits.
Client
Relationship: Build and maintain strong relationships with clients by
providing excellent customer service and addressing their inquiries and
concerns.
Market Research: Stay updated on real estate market
trends, property values, and competitive properties in order to advise
clients accurately.
Lead Generation: Actively seek new leads through various channels, such as networking, referrals, and online platforms.
Property
Presentations: Create engaging property presentations, including
photographs, floor plans, and descriptions, to effectively market
properties.
Negotiations: Negotiate terms and prices between buyers and sellers to facilitate successful property transactions.
Documentation: Ensure all necessary documentation and legal procedures are completed accurately for property sales.
Targets: Meet or exceed sales targets by consistently identifying and pursuing potential buyers.
Networking:
Attend industry events, conferences, and seminars to expand
professional network and stay informed about industry developments.
Reports: Prepare regular reports on sales activities, leads, and sales performance for management review."
"
General Manager



",07/11/2024 11:55 p.m.,General Mgmt. / Administration / Operations,Senior Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jul. 11, 2024 23:55
(1 month from now)",Under Graduate (Bachelor),More than 5 years,"Leadership, Attention to Detail, Decision Making, Communication, Problem Solving","Collaborate and coordinate with lawyers, tax consultants, and donors to ensure timely renewal of tax exemption certificates and other legal documents.
Work with legal counsel to address any legal matters related to projects or organizational operations.
Arrange and attend meetings with representatives of rural wards & municipalities, as well as other relevant stakeholders for project-related discussions and assessing their suitability for funding.
Prepare and submit project proposals to the appropriate authorities for approval and necessary compliance.
Monitor the progress of project proposals and follow up on any pending approvals or revisions and assist the Social Welfare Council (SWC) during their visits to monitor the progress of projects."
"
Admission Counselor



",06/10/2024 11:55 p.m.,"Teaching / Education
 > Counseling",Mid Level,[ 4 ],Full Time,"Dillibazar, Kathmandu, Nepal
Lokanthali, Bhaktapur, Nepal
Mandikatar, Kathmandu, Nepal – (Fashion Campus &amp; Interior Campus)",Negotiable,"Jun. 10, 2024 23:55
(4 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Interpersonal Skills, MS Office Suite, Counseling, Communication, Time Management","Mandikatar, Kathmandu, Nepal – (Fashion Campus & Interior Campus) – 2 Nos.
Lokanthali, Bhaktapur, Nepal – 1 No.
Dillibazar, Kathmandu, Nepal – 1 No."
"
Solar PV Systems Engineer



",06/20/2024 11:55 p.m.,Construction / Engineering / Architects,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 20, 2024 23:55
(2 weeks from now)",Under Graduate (Bachelor),More than or equal to 3 years,"Interpersonal Skills, Management, Communication, Multitasking, Teamwork, Analytical","Solar PV electrical power systems (AC and DC) Implementation
Experience of testing and fault finding to component level
Practical knowledge of earth nest and HV testing  
Creation of technical documents and reports associated with various projects
Outline and detailed design and specification of Solar and electrical power projects 
An awareeness of the civil and mechanical interfaces.
Work as part of a team to suggest improvements which will benefit our clients."
"
Software Developer And Data Analyst



",06/20/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 20, 2024 23:55
(2 weeks from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Interpersonal Skills, Management, Communication, Multitasking, Teamwork, Analytical","Perform and Execute Data Mining, Data Cleansing and Data Analysis of large datasets in excel, SQL or Power Query.
Time Series Analysis and forecasting with knowledge of Machine Learning Approaches- Supervised or Self Learning Methodology. Data Presentation in excel or Power BI platforms.
Develop and engage software based on OOP (Object Oriented Programming) concepts possibly using multiple languages like C#. Net [.Net Core, MVC, Blazor, Razor], Java, etc.
Some knowledge in programming the web API and web application, scripting for client and server side [ Javascript, JQuery] would be useful
Some knowledge of developing user friendly mobile application based on Android or IOS- cross platform utility would also be useful
Monitor and troubleshoot PC and network, configure and handle firewall, network attached storage, servers onsite or remotely.
Assist in company day today IT related work or assigned work in the domain.
Support the quality assurance process for deliverables created by others in the organisation"
"
Research/MEL Associate



",06/09/2024 11:55 p.m.,Research and Development,Entry Level,[ 1 ],Full Time,Kathmandu with frequent travel to the field,Negotiable,"Jun. 09, 2024 23:55
(3 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Interpersonal Skills, Analytical, Research Design, SPSS, MS Excel","Assist in monitoring and evaluating the projects being implemented by FDM.
Assist in the planning/finalizing of evaluation approach for projects.
Visit the field to undertake Focus Group Discussions (FGDs) and Key Informant Interviews (KIIs).
Draft evaluation reports with support from Team Leader and Sectoral Experts.
Ensure quality of the projects led under the supervision of the Team Leader."
"
Senior Oracle Database Administrator



",06/08/2024 11:55 p.m.,"IT & Telecommunication
 > Database Administrator (DBA)",Senior Level,[ 2 ],Full Time,Kathmandu,Negotiable,"Jun. 08, 2024 23:55
(2 days, 4 hours from now)",Under Graduate (Bachelor),More than 3 years,"Attention to Detail, Problem Solving, MS SQL Server, PostgreSQL, Oracle Database","Installation, Configuration, and Administration of Oracle Database (10g, 11g & 12c, 19c, etc.) 
Work on  Oracle DB Components like Oracle Advance Security, Active Data Guard, Partitioning, Database Diagnostics and Tuning Packs, etc.
Configuration of database Backup and recovery concepts including RMAN.
Data guard administration.
Operations focus of Oracle 10g/11g/12c/19c RAC databases which include installing, configuring and tuning.
Oracle ASM (Automatic Storage Management) installation, configuration & administration.
Install, upgrade, and configure database software and database-related application packages.
Apply database software patches.
Identifying Performance Bottlenecks and resolution of the same.
Create and build team of database 
Perform any standard jobs related to database administration as required."
"
Database Administrator



",06/08/2024 11:55 p.m.,"IT & Telecommunication
 > Database Administrator (DBA)",Mid Level,[ 2 ],Full Time,Kathmandu,Negotiable,"Jun. 08, 2024 23:55
(2 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"MySQL, PostgreSQL, Team Player, Oracle Database, Fast Learner","Install, upgrade, and configure database software and database-related application packages.
Apply database software patches.
Database Installation, Upgrades and Migration.
Provide database support to clients include creating databases, queries, and reports in collaboration with other DBAs from team and client. 
Work on data modeling, design, and development/Support of Data Warehouse
Creating and implementing security policies, configuring, and maintaining database replication including clusters.
Conducting daily backups, importing/exporting data to other systems, reporting, monitoring, securities troubleshooting"
"
DevOps Engineer



",06/06/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 1 ],Full Time,"Sinamangal,Kathmandu","NRs. 120,000.00 - 130,000.00 Monthly","Jun. 06, 2024 23:55
(4 hours from now)",Under Graduate (Bachelor),More than or equal to 3 years,"Javascript, GitHub, Ci/Cd Tools, Python, TypeScript","Migrate on-premise software build systems to the cloud.
Decouple Python build tools and make them more robust, reliable, and secure.
Manage the build pipeline and environments
Cover for other members of the team on web infrastructure and ad hoc AWS requirements."
"
Sales Officer



",06/07/2024 11:55 p.m.,Sales / Public Relations,Mid Level,[ 3 ],Full Time,Kathmandu,Negotiable,"Jun. 07, 2024 23:55
(1 day, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 4 years,"Leadership, Communication, Negotiation, Time Management, Presentation","Collaborate with cross-functional teams to develop sales strategies and action plans that drive business growth and increase market share.
Identify new opportunities, market trends, and customer needs to inform strategic decision-making.
Knowledge and experience in consumer goods sales, preferably in the FMCG and/or food industry.
Must be willing to travel within the assigned area as needed.
Develop and execute innovative strategies to identify and onboard new customers within the assigned territory.
Explore untapped market segments and niches to expand customer base.
Analyse market needs and trends, to identify and deliver strategies to support the company's business development plan.
Develop the Horeca channel focusing on the hotels/cafe/restaurants sector for sales of frozen snacks.
Responsible for identifying and securing new clients in addition to yielding existing clients to ensure revenue targets are met.
Maintain strong relationships with customers including distributors, wholesalers, and retailers.
Develop and maintain a high level of product and service knowledge to facilitate support to potential and existing clients.
Meet the sales targets and KPIs as set and agreed upon by the senior management.
Regular weekly reporting on all sales activities to monitor the success and effectiveness of activities."
"
Assosicate PHP-Developer



",06/07/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 1 ],Full Time,Baluwatar,"NRs. 25,000.00 - 30,000.00 Monthly","Jun. 07, 2024 23:55
(1 day, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"MySQL, Git, XML, Web API, PHP","Develop and maintain web applications using PHP and a PHP framework (e.g., Laravel, Symfony, CodeIgniter)
Build and maintain efficient and reliable database structures, including MySQL, PostgreSQL, or MongoDB.
Identify user and system requirements for the website.
Comfortable working with RESTful APIs as well as creating their own APIs.
Write or review code for various application modules.
Run functionality testing and debug code.
Ensure their software documentation is up-to-date.
Review and refactor code.
Maintaining  and debugging websites
Stay up-to-date with the latest industry trends and technologies to contribute to continuous improvement and innovation.
Write clean, robust, modular, scalable, and maintainable code that adheres to industry best practices and coding standards.
Work on all phases of the development lifecycle."
"
Production Manager/Food Technologist



",06/07/2024 11:55 p.m.,"Production / Maintenance / Quality
 > Production, QA/QC",Mid Level,[ 1 ],Full Time,"Pokhara-16, Upper Deep","NRs. 32,000.00 - 40,000.00 Monthly","Jun. 07, 2024 23:55
(1 day, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,N/A,"Plan, coordinate, and manage the production activities to meet daily, weekly, and monthly production targets.
Ensure adherence to food safety and quality standards throughout the production process.
Monitor production processes and adjust schedules as needed to ensure optimal efficiency.
Supervise and lead production staff, providing training, support, and performance feedback.
Implement and maintain good manufacturing practices (GMP) and standard operating procedures (SOPs).
Collaborate with the quality assurance team to ensure products meet the highest quality standards.
Oversee the maintenance and repair of production equipment to minimize downtime.
Manage inventory levels of raw materials and finished products, ensuring timely procurement and supply chain coordination.
Analyze production data to identify areas for improvement and implement solutions.
Ensure compliance with health and safety regulations and promote a culture of safety within the production team.
Liaise with other departments such as R&D, supply chain, and sales to ensure smooth operations and product delivery."
"
Grade Teacher



",06/06/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Kathmandu, Nepal",Negotiable,"Jun. 06, 2024 23:55
(4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Interpersonal Skills, Communication, Time Management, Result Oriented, Creativity Skills","Plan and deliver engaging lessons across various subjects with a focus on English language skills.
Incorporate technology to enhance English language learning and subject comprehension.
Assess student progress in English language proficiency and subject-specific knowledge.
Create a supportive and inclusive classroom environment conducive to learning.
Implement effective classroom management strategies to maintain discipline and focus.
Collaborate with colleagues to develop interdisciplinary approaches to teaching.
Communicate regularly with parents regarding student progress and educational needs.
Utilize computer skills to manage classroom activities, grading, and communication with stakeholders."
"
Front Desk Officer



",06/06/2024 11:55 p.m.,Secretarial / Front Office / Data Entry,Mid Level,[ 1 ],Full Time,"Kathmandu, Nepal",Negotiable,"Jun. 06, 2024 23:55
(4 hours from now)",Higher Secondary (+2/A Levels/Ib),More than or equal to 1 year,"Interpersonal Skills, Communication, Organizational, Teamwork, Time Management","Greet visitors and provide assistance as needed.
Answer phone calls and direct inquiries to the appropriate personnel.
Maintain a clean and organized front desk area.
Schedule appointments and manage calendars.
Process incoming and outgoing mail and deliveries.
Assist with administrative tasks as assigned.
Provide exceptional service to all visitors and callers."
"
Social Media Handler



",06/06/2024 11:55 p.m.,Journalism / Editor / Media,Mid Level,[ 1 ],"Full Time ,
Part Time","Kathmandu, Nepal",Negotiable,"Jun. 06, 2024 23:55
(4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Interpersonal Skills, Communication, Creativity Skills, Basic Computer, It Skills","Create comprehensive strategies aligned with the school’s objectives to enhance online presence and engagement.
Design, curate, and manage content across social media platforms, including text, images, and video, ensuring it is engaging and on-brand.
Plan and execute social media campaigns to promote school events, achievements, and initiatives.
Monitor social media channels, respond to comments and messages, and engage with the online community.
Use tools like Google Analytics and social media insights to track performance, report on key metrics, and optimize strategies.
Stay updated with the latest social media trends and incorporate them into the school’s social media activities.
Work with other team members, such as the marketing and communications team, to ensure consistent messaging and branding."
"
Ticketing And Tour Officer



",06/06/2024 11:55 p.m.,"Hospitality
 > Hospitality/ Travel/ Ticketing/ Tour",Mid Level,[ 2 ],Full Time,"Kathmandu, Nepal",Negotiable,"Jun. 06, 2024 23:55
(4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Communication, Ticketing, Customer Service, Interpersonal Skills, Quick Learner","Plan and create travel itineraries based on client preferences, budget, and destination.
Handle ticketing enquiries including airfare quotations, reservations, and e-Ticket issuances.
Coordinate with transportation providers, hotels, and other vendors to book service for clients.
Provide excellent customer service by addressing client inquiries, resolving issues, and ensuring customer satisfaction throughout the travel process.
Stay updated on travel trends, destination information, and industry regulations to offer informed recommendations to clients.
Manage bookings, payments, and documentation accurately and efficiently.
Handle emergency situations or change in travel plans, such as flight delays or cancellations, to minimize disruptions for clients.
Collaborate with marketing and sales teams to promote travel packages and attract new clients.
Maintain relationships with travel partners and suppliers to negotiate favorable terms and ensure quality services for clients.
Ensure compliance with legal and safety standards in the travel industry."
"
Technical Software Support Intern



",06/15/2024 11:55 p.m.,"Marketing / Advertising / Customer Service
 > Customer relationship, Guest relation/ servicing, Online support",Entry Level,[ 4 ],Full Time,"Manbhawan, Lalitpur",Negotiable,"Jun. 15, 2024 23:55
(1 week, 2 days from now)",Under Graduate (Bachelor),Not Required,"Interpersonal Skills, Communication, Public Speaking","Identifying & troubleshooting problems.
Problem Solving and escalation through phone.
Provide training to client as and when required.
Solving the client’s problems by knowing the exact issue of the clients.
Providing Technical Support to the clients in a quick way.
Suggestions for the client in need as the nature of need and work.
Perform duties as per departmental requirements."
"
IELTS/PTE Instructor



",07/06/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 3 ],Full Time,"Kathmandu, Nepal",Negotiable,"Jul. 06, 2024 23:55
(1 month from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Communication, Interpersonal Skills, Organizational, Motivational","Conduct IELTS and PTE classes for students at varying levels of proficiency.
Develop and deliver lesson plans that adhere to the IELTS/PTE curriculum.
Provide individualized feedback and support to help students improve their scores.
Monitor and assess students' progress, providing reports and updates as required.
Stay updated with the latest trends and updates in IELTS and PTE testing.
Organize and conduct mock tests to prepare students for the actual exams.
Maintain a positive and conducive learning environment."
"
Japanese Language Instructor



",07/06/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 3 ],Full Time,"Kathmandu, Nepal",Negotiable,"Jul. 06, 2024 23:55
(1 month from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Communication, Organizational, Motivational, Attention to Detail","Develop and implement effective Japanese language curricula.
Teach Japanese language classes, including grammar, vocabulary, listening, speaking, reading, and writing skills.
Prepare lesson plans and instructional materials.
Assess and monitor students' progress, providing feedback and support.
Organize and conduct language practice sessions and cultural activities.
Assist students in preparing for Japanese language proficiency exams (e.g., JLPT).
Collaborate with other instructors and staff to enhance the overall educational experience."
"
Sales Executives



",07/05/2024 11:55 p.m.,Sales / Public Relations,Entry Level,[ 5 ],Full Time,"Bhaktapur
Kathmandu
Lalitpur",Negotiable,"Jul. 05, 2024 23:55
(4 weeks, 1 day from now)",Under Graduate (Bachelor),Less than or equal to 1 year,"Communication, Time Management, Sales Forecasting, Negotiation","Customer dealing, Assisting Officers-Sales, sales related follow-ups, customer visits etc.
Plan and implement sales strategy.
Build and maintain strong relationships with existing and potential clients.
Prepare and deliver presentations to clients, showcasing our products/services.
Negotiate contracts and close deals to achieve sales targets.
Provide sales support and assistance to the sales team as needed.
Coordinate with wholesale and retail partners to ensure product availability and visibility.
Collaborate with other departments to ensure customer satisfaction and retention.
Being updated with the industry trends and competitors' activities."
"
Electrical Engineer



",06/26/2024 11:55 p.m.,"Construction / Engineering / Architects
 > Electrical/ Electronics",Mid Level,[ 5 ],Full Time,"Madi, Chhhachok, Kaski",Negotiable,"Jun. 26, 2024 23:55
(2 weeks, 6 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,N/A,"Design electrical systems, including power distribution, control panels, and protection systems.
Develop electrical schematics, drawings, and specifications.
Coordinate with engineering teams to integrate electrical components into overall project designs.
Conduct technical evaluations and assessments to optimize electrical system performance.
Oversee installation, testing, and commissioning of electrical equipment and systems.
Troubleshoot electrical issues and implement corrective measures.
Ensure compliance with safety standards and regulatory requirements.
Perform preventive maintenance and inspections of electrical systems.
Provide technical support and training to operations and maintenance teams."
"
Accountant



",06/15/2024 11:55 p.m.,Accounting / Finance,Mid Level,[ 1 ],Full Time,"Vyas-1, Tanahun",Negotiable,"Jun. 15, 2024 23:55
(1 week, 2 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,N/A,"Prepare financial statements and reports, including the profit and loss statement, balance sheet, and cash flow statements.
Analyze financial data and provide insights to management for decision-making.
Manage general ledger accounts and ensure proper recording of all financial transactions.
Conduct month-end and year-end close processes.
Assist in the preparation of budgets and forecasts.
Monitor budget variances and recommend corrective actions.
Process accounts payable and receivable transactions.
Reconcile accounts and ensure timely collection and payment processes.
Ensure compliance with local, state, and federal tax regulations.
Prepare and file tax returns and other statutory filings.
Assist with internal and external audits.
Ensure adherence to internal controls and company policies.
Maintain accurate financial records and documentation.
Collaborate with other departments to ensure efficient financial operations.
Stay updated on industry trends and changes in financial regulations."
"
Nepal Bhasa Teacher



",07/06/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Tilganga, Kathmandu",Negotiable,"Jul. 06, 2024 23:55
(1 month from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Interpersonal Skills, Leadership, Communication, Organizational, Time Management","Develop course materials for students to complete in the classroom and in their free time, which includes handouts, essays and additional homework assignments
Evaluate students’ performances, including grading homework assignments and making note of how well students participate in discussions
Act as an advisor for student clubs, which can entail the Newari club, but could also extend to other organizations as you see fit
Speak with students’ parents to inform them of their child’s progress in the classroom
Collaborate with other teachers to develop school-wide policies and create an overall better learning environment
Translate Nepal Bhasa language into the students' natural language to help them understand
Provide instruction in literature and cross-cultural studies
Provide individualized and small group instruction in order to adapt the curriculum to the needs of each pupil
Develop pupil understanding and appreciation of the culture of countries
Create instructional resources for use in the classroom
Create a positive educational climate for students to learn in
Meet course and school-wide student performance goals
Participate in ongoing training sessions
Create lesson plans and modify accordingly throughout the year
Maintain grade books
Read and stay abreast of current topics in education
Prepare and distribute required reports
Observe and evaluate students' performance
Manage student behavior in the classroom by invoking approved disciplinary procedures"
"
Boys Hostel Warden



",07/06/2024 12:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Tilganga, Kathmandu",Negotiable,"Jul. 06, 2024 12:55
(4 weeks, 1 day from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Supervision, Leadership, Attention to Detail, Communication, Time Management","Ensure the safety, security, and well-being of all students in the hostel.
Maintain a disciplined and orderly environment in the hostel.
Be available for students to address their personal and academic concerns.
Maintain accurate records of student attendance, health, and disciplinary actions.
Coordinate with school administration regarding student matters.
Ensure proper inventory and management of hostel supplies and equipment.
Implement and enforce health and safety policies within the hostel.
Ensure cleanliness and hygiene standards are maintained in the hostel.
Maintain open and effective communication with parents/guardians regarding their child’s progress and well-being.
Address any concerns or complaints from parents in a timely and professional manner.
Organize and supervise extracurricular and social activities for hostel residents."
"
Biology Teacher



",07/05/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Solukhumbu, Nepal",Negotiable,"Jul. 05, 2024 23:55
(4 weeks, 1 day from now)",Graduate (Masters),More than or equal to 2 years,N/A,"Develop and implement biology curriculum for higher secondary level students
Prepare lesson plans, instructional materials, and assessments that align with the educational standards and curriculum goals
Deliver engaging and effective instruction in biology, utilizing various teaching methods and resources to accommodate different learning styles
Assess student performance through assignments, tests, and examinations, providing constructive feedback to support their learning
Foster a positive and inclusive classroom environment that encourages student participation and promotes academic excellence
Maintain accurate and up-to-date records of student attendance, grades, and progress
Participate in faculty meetings, professional development sessions, and school events
Collaborate with colleagues to enhance the educational experience and share best practices
Communicate regularly with parents and guardians to discuss student progress and address any concerns
Stay current with developments in the field of biology and integrate new knowledge into the classroom"
"
Secondary Level Science Teacher



",07/05/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Solukhumbu, Nepal",Negotiable,"Jul. 05, 2024 23:55
(4 weeks, 1 day from now)",Graduate (Masters),More than or equal to 2 years,N/A,"Develop and implement biology curriculum for higher secondary level students
Prepare lesson plans, instructional materials, and assessments that align with the educational standards and curriculum goals
Deliver engaging and effective instruction in biology, utilizing various teaching methods and resources to accommodate different learning styles
Assess student performance through assignments, tests, and examinations, providing constructive feedback to support their learning
Foster a positive and inclusive classroom environment that encourages student participation and promotes academic excellence
Maintain accurate and up-to-date records of student attendance, grades, and progress
Participate in faculty meetings, professional development sessions, and school events
Collaborate with colleagues to enhance the educational experience and share best practices
Communicate regularly with parents and guardians to discuss student progress and address any concerns
Stay current with developments in the field of biology and integrate new knowledge into the classroom"
"
Instructor



",07/05/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Solukhumbu, Nepal",Negotiable,"Jul. 05, 2024 23:55
(4 weeks, 1 day from now)",Graduate (Masters),More than or equal to 2 years,N/A,"Develop and deliver comprehensive lessons in horticulture to higher secondary students.
Utilize a variety of teaching methods, including lectures, demonstrations, hands-on activities, and fieldwork.
Foster a positive and engaging learning environment.
Design and update the horticulture curriculum to meet educational standards and student needs.
Incorporate the latest developments in horticultural science and technology into the curriculum.
Evaluate student performance through assignments, tests, practical exams, and projects.
Provide timely and constructive feedback to students.
Maintain accurate records and prepare and submit reports on student performance, progress, achievements, program effectiveness, and grant utilization.
Organize and supervise practical horticultural activities, including greenhouse management, garden design, and plant propagation.
Coordinate field trips and visits to agricultural institutions and farms.
Provide academic advising and career guidance to students interested in pursuing careers in horticulture.
Mentor students in research projects and agricultural competitions.
Engage in continuous professional development to stay current with advancements in horticulture and teaching practices.
Establish and maintain partnerships with local agricultural organizations, farmers, and community groups.
Promote horticulture education and awareness in the community through outreach programs and events.
Participate in departmental meetings, school committees, and professional development activities.
Ensure compliance with government regulations and educational policies.
Ensure the safety and maintenance of horticultural equipment and facilities.
Implement safety protocols for students during practical activities and fieldwork."
